#;P0;
;(s);
1;0.115364;
2;0.693748;
3;0.315873;
4;2.552870;
5;3.025301;
6;1.240699;
7;2.314131;
8;0.003050;
9;0.005757;
10;0.005358;
11;0.003536;
12;0.002624;
13;0.004040;
14;0.003210;
15;0.003485;
16;0.002101;
17;0.004346;
18;0.003677;
19;0.003054;
20;0.002643;
21;0.003643;
22;0.004033;
23;0.003480;
24;0.002830;
25;0.007588;
26;0.004343;
27;0.004810;
28;0.002352;
29;0.004772;
30;0.002197;
31;0.004554;
32;0.001840;
33;0.003705;
34;0.002740;
35;0.003740;
36;0.318358;
37;1.306150;
38;0.004865;
39;0.036804;
40;0.315000;
41;0.912000;
42;0.001877;
43;0.942951;
44;0.900009;
45;0.256926;
46;0.536687;
47;1.118225;
48;0.398657;
49;0.145218;
50;0.059889;
51;0.937434;
52;0.396913;
53;0.632336;
54;0.926276;
55;1.217094;
56;0.079314;
57;1.366560;
58;0.354732;
59;0.191447;
60;1.390218;
61;1.390217;
62;*;
63;0.832911;
64;0.290945;
65;2.115171;
66;0.472037;
67;0.738062;
68;0.996023;
69;0.637000;
70;0.021766;
71;1.145910;
72;1.493601;
73;8.020392;
74;0.002573;
75;0.002964;
76;1.679164;
77;0.354299;
78;0.868930;
79;1.386000;
80;0.306737;
81;0.083157;
82;1.197383;
83;1.283660;
84;1.071118;
85;0.807565;
86;0.432700;
87;1.262000;
88;1.261960;
89;4.301872;
90;0.688542;
91;0.325883;
92;0.521455;
93;0.101439;
94;1.313385;
95;2.724785;
96;1.388994;
97;1.708230;
98;0.003675;
99;1.089000;
100;0.348124;
101;0.463474;
102;0.136962;
103;0.414763;
104;0.717963;
105;1.247961;
106;1.775356;
107;0.272451;
108;2.174807;
109;1.222949;
110;0.046686;
111;0.046680;
112;0.938100;
113;8.688994;
114;0.196321;
115;2.654000;
116;1.464665;
117;2.746647;
118;0.832742;
119;0.002365;
120;*;
121;1.811561;
122;2.351745;
123;0.505300;
124;1.349184;
125;0.005173;
126;0.065716;
127;0.630551;
128;0.863883;
129;1.063906;
130;1.766219;
131;0.350731;
132;3.231999;
133;0.376386;
134;0.002115;
135;0.024575;
136;0.548880;
137;0.002323;
138;1.029700;
139;1.240102;
140;0.806900;
141;0.600840;
142;1.466820;
143;1.545400;
144;0.592000;
145;1.473000;
146;2.128100;
147;0.030929;
148;0.002601;
149;0.217094;
150;23.535378;
151;0.002542;
152;0.447708;
153;0.568040;
154;1.207165;
155;1.387584;
156;0.862063;
157;0.003156;
158;40.910697;
159;0.003704;
160;1.974240;
161;0.005190;
162;3.032072;
163;0.336620;
164;1.364679;
165;0.893320;
166;0.714520;
167;0.269201;
168;1.761934;
169;0.002733;
170;2.056210;
171;0.003299;
172;1.888000;
173;1.007640;
174;1.934478;
175;2.597027;
176;1.226006;
177;0.039123;
178;2.420770;
179;0.364950;
180;0.444104;
181;0.197030;
182;0.226484;
183;0.156384;
184;0.091506;
185;0.079427;
186;0.545254;
187;0.512194;
188;0.063954;
189;0.002600;
190;0.002609;
191;0.594576;
192;0.025702;
193;0.011440;
194;1.837000;
195;0.754000;
196;1.878500;
197;0.687000;
198;1.081000;
199;0.806720;
200;0.440189;
201;0.390715;
202;0.018250;
203;0.654400;
204;0.291360;
205;0.440283;
206;9.078388;
207;0.002910;
208;0.757119;
209;1.241000;
210;1.241126;
211;3.453004;
212;0.900105;
213;2.161309;
214;0.922475;
215;2.158436;
216;0.326279;
217;0.005757;
218;0.002995;
219;2.188190;
220;0.450448;
221;0.479164;
222;0.438014;
223;0.245454;
224;0.548939;
225;1.665119;
226;0.045782;
227;1.389137;
228;0.340729;
229;0.320423;
230;0.117073;
231;0.800132;
232;0.504900;
233;2.497012;
234;0.231390;
235;1.883480;
236;1.133900;
237;1.133077;
238;5.762097;
239;0.638565;
240;0.691251;
241;0.003390;
242;0.004056;
243;2.496100;
244;0.076541;
245;0.278754;
246;0.307197;
247;0.322062;
248;2.625490;
249;0.004991;
250;0.002816;
251;0.005565;
252;0.004554;
253;0.005596;
254;0.004329;
255;0.003803;
256;0.005506;
257;0.032654;
258;0.006633;
259;0.004692;
260;0.002959;
261;0.004798;
262;0.005568;
263;0.320271;
264;0.222367;
265;1.595840;
266;2.636940;
267;0.912512;
268;0.340203;
269;0.330210;
270;1.690414;
271;0.515000;
272;0.377736;
273;0.263212;
274;0.007920;
275;0.241642;
276;0.433421;
277;0.674532;
278;0.322500;
279;0.354438;
280;8.047000;
281;0.023000;
282;3.745539;
